CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-512,San Mateo County CoC,55-64,494
2017,CA-512,San Mateo County CoC,65+,158
2017,CA-512,San Mateo County CoC,Under 18,1298
2017,CA-512,San Mateo County CoC,Unknown,*
2017,CA-513,"Kings, Tulare Counties CoC",18-24,276
2017,CA-513,"Kings, Tulare Counties CoC",25-34,577
2017,CA-513,"Kings, Tulare Counties CoC",35-44,523
2017,CA-513,"Kings, Tulare Counties CoC",45-54,419
2017,CA-513,"Kings, Tulare Counties CoC",55-64,277
2017,CA-513,"Kings, Tulare Counties CoC",65+,82
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,799
2017,CA-514,"Fresno, Madera Counties CoC",18-24,213
2017,CA-514,"Fresno, Madera Counties CoC",25-34,322
2017,CA-514,"Fresno, Madera Counties CoC",35-44,317
2017,CA-514,"Fresno, Madera Counties CoC",45-54,350
2017,CA-514,"Fresno, Madera Counties CoC",55-64,351
2017,CA-514,"Fresno, Madera Counties CoC",65+,97
2017,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,928
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
2017,CA-515,Placer County CoC,18-24,96
2017,CA-515,Placer County CoC,25-34,219
2017,CA-515,Placer County CoC,35-44,226
2017,CA-515,Placer County CoC,45-54,229
2017,CA-515,Placer County CoC,55-64,200
2017,CA-515,Placer County CoC,65+,58
2017,CA-515,Placer County CoC,Invalid,*
2017,CA-515,Placer County CoC,Under 18,312
2017,CA-515,Placer County CoC,Unknown,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,27
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,57
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,47
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,21
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,23
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,103
2017,CA-517,Napa County CoC,18-24,77
2017,CA-517,Napa County CoC,25-34,195
2017,CA-517,Napa County CoC,35-44,151
2017,CA-517,Napa County CoC,45-54,176
2017,CA-517,Napa County CoC,55-64,146
2017,CA-517,Napa County CoC,65+,27
2017,CA-517,Napa County CoC,Under 18,175
2017,CA-518,Solano County CoC,18-24,67
2017,CA-518,Solano County CoC,25-34,142
2017,CA-518,Solano County CoC,35-44,137
2017,CA-518,Solano County CoC,45-54,149
2017,CA-518,Solano County CoC,55-64,170
2017,CA-518,Solano County CoC,65+,64
2017,CA-518,Solano County CoC,Invalid,*
2017,CA-518,Solano County CoC,Under 18,223
2017,CA-518,Solano County CoC,Unknown,*
2017,CA-519,Butte County CoC,18-24,121
2017,CA-519,Butte County CoC,25-34,276
2017,CA-519,Butte County CoC,35-44,212
2017,CA-519,Butte County CoC,45-54,202
2017,CA-519,Butte County CoC,55-64,190
2017,CA-519,Butte County CoC,65+,57
2017,CA-519,Butte County CoC,Under 18,319
2017,CA-519,Butte County CoC,Unknown,*
2017,CA-520,Merced County CoC,18-24,41
2017,CA-520,Merced County CoC,25-34,85
2017,CA-520,Merced County CoC,35-44,115
2017,CA-520,Merced County CoC,45-54,134
2017,CA-520,Merced County CoC,55-64,160
2017,CA-520,Merced County CoC,65+,37
2017,CA-520,Merced County CoC,Under 18,34
2017,CA-521,Yolo County CoC,18-24,40
2017,CA-521,Yolo County CoC,25-34,109
2017,CA-521,Yolo County CoC,35-44,93
2017,CA-521,Yolo County CoC,45-54,89
2017,CA-521,Yolo County CoC,55-64,65
2017,CA-521,Yolo County CoC,65+,*
2017,CA-521,Yolo County CoC,Under 18,129
2017,CA-522,Humboldt County CoC,18-24,83
2017,CA-522,Humboldt County CoC,25-34,154
2017,CA-522,Humboldt County CoC,35-44,132
2017,CA-522,Humboldt County CoC,45-54,127
2017,CA-522,Humboldt County CoC,55-64,143
2017,CA-522,Humboldt County CoC,65+,50
2017,CA-522,Humboldt County CoC,Invalid,*
2017,CA-522,Humboldt County CoC,Under 18,328
2017,CA-522,Humboldt County CoC,Unknown,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,31
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,119
2017,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2017,CA-525,El Dorado County CoC,18-24,19
2017,CA-525,El Dorado County CoC,25-34,33
2017,CA-525,El Dorado County CoC,35-44,37
2017,CA-525,El Dorado County CoC,45-54,48
2017,CA-525,El Dorado County CoC,55-64,38
2017,CA-525,El Dorado County CoC,65+,*
2017,CA-525,El Dorado County CoC,Under 18,120
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,41
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,96
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,83
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,72
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,55
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,19
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,200
2017,CA-527,Tehama County CoC,18-24,30
2017,CA-527,Tehama County CoC,25-34,80
2017,CA-527,Tehama County CoC,35-44,70
2017,CA-527,Tehama County CoC,45-54,60
2017,CA-527,Tehama County CoC,55-64,78
2017,CA-527,Tehama County CoC,65+,22
2017,CA-527,Tehama County CoC,Under 18,53
2017,CA-527,Tehama County CoC,Unknown,*
2017,CA-529,Lake County CoC,18-24,*
2017,CA-529,Lake County CoC,25-34,*
2017,CA-529,Lake County CoC,35-44,*
2017,CA-529,Lake County CoC,45-54,*
2017,CA-529,Lake County CoC,55-64,*
2017,CA-529,Lake County CoC,65+,*
2017,CA-529,Lake County CoC,Under 18,15
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,17
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,24
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,27
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,55
2017,CA-531,Nevada County CoC,18-24,42
2017,CA-531,Nevada County CoC,25-34,77
2017,CA-531,Nevada County CoC,35-44,94
2017,CA-531,Nevada County CoC,45-54,86
2017,CA-531,Nevada County CoC,55-64,76
2017,CA-531,Nevada County CoC,65+,24
2017,CA-531,Nevada County CoC,Under 18,66
2017,CA-600,Los Angeles County CoC,18-24,5985
2017,CA-600,Los Angeles County CoC,25-34,9063
2017,CA-600,Los Angeles County CoC,35-44,8007
2017,CA-600,Los Angeles County CoC,45-54,9047
